draw_id,stars,numbers,formula_name,costs,winnings,notes
1048,"10,12","41,44,47,48,50","S(RI)N.N(RI-ICDDIS)D,S(RI)D.N(RI-ICDDIS)D,S(RI)D.N(RI-IDDIS)D,S(RI)N.N(RI-IDDIS)D,S(RI)N.N(RI-ITDDIS)D,S(RI)D.N(RI-ITDDIS)D",2.50,0.00,Highest Earnings in 5 Draws
1049,"10,12","41,44,47,48,50","S(RI)N.N(RI-IDDIS)D,S(RI)N.N(RI-ITDDIS)D,S(RI)D.N(RI-ICDDIS)D,S(RI)D.N(RI-IDDIS)D,S(RI)D.N(RI-ITDDIS)D,S(RI)N.N(RI-ICDDIS)D",2.50,0.00,Highest Earnings in 5 Draws
1050,"4,5","21,27,38,44,50","S(ILoIS)D.N(ICDDIS-RI)D,S(ILoIS)D.N(IDDIS-RI)D,S(ILoIS)D.N(ITDDIS-RI)D",2.50,0.00,Wins >= 2 and Earnings Factor >= 2 in 9 Draws
1051,"6,9","38,39,40,44,50","S(ILoIS)D.N(IDDIS-RI)D,S(ILoIS)D.N(ICDDIS-RI)D,S(ILoIS)D.N(ITDDIS-RI)D",2.50,0.00,Wins > 0 and Earnings Factor > 0 in 40 Draws (1st)
1051,"4,6","38,39,40,44,50","S(ILoIS)N.N(ICDDIS-RI)D,S(ILoIS)N.N(IDDIS-RI)D,S(ILoIS)N.N(ITDDIS-RI)D",2.50,0.00,Wins > 0 and Earnings Factor > 0 in 40 Draws (2nd)
1052,"1,5","4,29,37,44,50","S(ILoIS)S.N(ILoIS-RF)D,S(ILoIS)S.N(ILoIS-RF)N,S(ITLoIS)S.N(ILoIS-RF)D,S(ITLoIS)S.N(ILoIS-RF)N,S(RIFS)S.N(ILoIS-RF)D,S(RIFS)S.N(ILoIS-RF)N",2.50,,Wins >= 3 and Earnings Factor > 1
1055,"6,9","17,20,22,46,50","S(ILoIS)D.N(ICLIS-RF)D",2.50,0.00,Highest Wins and Earnings Factor in 5 Draws
1056,"6,9","5,14,20,22,47","S(ILoIS-ITLoIS)D.N(ISIS)N,S(ILoIS-ITLoIS)D.N(ITSIS)N",2.50,0.00,Highest Wins and Earnings Factor in 5 Draws
1058,"6,9","2,17,22,38,48","S(ILoIS)D.N(ICLIS-ILIS)N,S(ILoIS)D.N(ICLIS-ISIS)N,S(ILoIS)D.N(ICLIS-ITLIS)N,S(ILoIS)D.N(ICLIS-ITSIS)N,S(ILoIS)D.N(ICSIS-ILIS)N,S(ILoIS)D.N(ICSIS-ISIS)N,S(ILoIS)D.N(ICSIS-ITLIS)N,S(ILoIS)D.N(ICSIS-ITSIS)N",2.50,0.00,Highest Wins and Earnings Factor in 5 Draws
1060,"8,10","12,22,33,35,46","S(RF)D.N(ICLoIS-ILoIS)N",2.50,,Highest Wins and Earnings Factor in 5 Draws
1060,"3,5","12,22,33,35,46","S(ICLIS)S.N(ICLoIS-ILoIS)N,S(ICSIS)S.N(ICLoIS-ILoIS)N,S(ILIS)S.N(ICLoIS-ILoIS)N,S(ITLIS)S.N(ICLoIS-ILoIS)N",2.50,,Highest Wins and Earnings Factor in 5 Draws
